commit	val_score	triggers	status	description
0e61c4d	-0.018891	420	discard	E=E025/oi_pump_low_liquidity_avoid X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=3.86 elapsed=0.3s
0e61c4d	0.062464	970	discard	E=E026/oi_pump_burst_3plus_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.07 elapsed=1.0s
0e61c4d	0.084623	878	discard	E=E027/oi_pump_first_signal_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	0.045363	104	discard	E=E028/oi_pump_volume_confirmed_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.67 best_sl=5.92 elapsed=0.1s
0e61c4d	-0.068694	296	discard	E=E029/oi_pump_volume_low_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=2.65 elapsed=0.3s
0e61c4d	0.084623	878	discard	E=E030/oi_pump_persistent_oi_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	0.297243	250	discard	E=E031/oi_crash_oi_recovers_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.59 best_sl=4.60 elapsed=0.3s
0e61c4d	-0.137931	155	discard	E=E032/oi_pump_top_trader_short_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.49 elapsed=0.1s
0e61c4d	-0.070750	238	discard	E=E033/oi_pump_top_trader_long_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=2.57 elapsed=0.3s
0e61c4d	-0.007126	159	discard	E=E034/oi_pump_global_short_ratio_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=4.17 elapsed=0.1s
0e61c4d	-0.128303	109	discard	E=E035/oi_pump_global_long_ratio_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=2.42 elapsed=0.1s
0e61c4d	0.284182	5000	discard	E=E036/pc_first_signal_immediate_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=4.1s
0e61c4d	0.265848	5000	discard	E=E037/pc_first_signal_immediate_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E038/pc_first_signal_30s_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E039/pc_first_signal_1m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E040/pc_first_signal_3m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E041/pc_second_signal_cont_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E042/pc_second_signal_cont_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E043/pc_second_signal_reversal_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E044/pc_third_plus_overheat_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E045/pc_third_plus_high_vol_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E046/pc_burst_seq_4plus_avoid X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.3s
0e61c4d	0.284182	5000	discard	E=E047/pc_pretrend_aligned_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E048/pc_pretrend_aligned_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E049/pc_pretrend_against_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.265848	5000	discard	E=E050/pc_pretrend_against_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
0e61c4d	0.333533	2144	discard	E=E051/pc_high_liquidity_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.43 best_sl=6.00 elapsed=1.6s
0e61c4d	0.071093	746	discard	E=E052/pc_low_liquidity_avoid X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.13 elapsed=0.4s
0e61c4d	0.284182	5000	discard	E=E053/pc_btc_correlated_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E054/pc_low_btc_correl_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.1s
0e61c4d	0.284182	5000	discard	E=E055/pc_short_event_hold_1m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.1s
0e61c4d	0.284182	5000	discard	E=E056/pc_short_event_hold_3m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
0e61c4d	0.284182	5000	discard	E=E057/pc_pump_low_premium_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.1s
0e61c4d	0.133687	1448	discard	E=E058/pc_pump_high_premium_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=1.2s
0e61c4d	0.265848	5000	discard	E=E059/pc_crash_low_premium_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.1s
0e61c4d	0.000000	0	crash	E=E060/pc_crash_high_funding_long X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
0e61c4d	0.000000	0	crash	E=E061/pc_crash_negative_funding_short X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
0e61c4d	0.284182	5000	discard	E=E062/pc_pump_oi_rising_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.3s
0e61c4d	0.265848	5000	discard	E=E063/pc_pump_oi_falling_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.3s
0e61c4d	0.364458	3639	keep	E=E064/pc_pump_taker_buy_dominant_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=6.00 elapsed=2.5s
33873c2	0.134787	122	discard	E=E065/pc_pump_taker_sell_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=1.72 elapsed=0.1s
33873c2	0.338391	3712	discard	E=E066/pc_crash_taker_buy_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.43 best_sl=5.96 elapsed=2.6s
33873c2	0.284182	5000	discard	E=E067/pc_pump_btc_bull_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.4s
33873c2	0.265848	5000	discard	E=E068/pc_pump_btc_bear_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
33873c2	0.000000	0	crash	E=E069/pc_pump_market_cap_small_long X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
33873c2	0.000000	0	crash	E=E070/pc_pump_market_cap_large_long X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
33873c2	0.092645	120	discard	E=E071/r6_bigmove_pump_immediate_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.092645	120	discard	E=E072/r6_bigmove_pump_30s_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.092645	120	discard	E=E073/r6_bigmove_pump_1m_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.092645	120	discard	E=E074/r6_bigmove_crash_immediate_short_cont X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.152927	120	discard	E=E075/r6_bigmove_crash_30s_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.152927	120	discard	E=E076/r6_bigmove_crash_1m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.152927	120	discard	E=E077/r6_pump_btc_bull_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.092645	120	discard	E=E078/r6_pump_btc_bear_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.152927	120	discard	E=E079/r6_crash_oversold_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.152927	120	discard	E=E080/r6_pump_oi_confirms_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=5.10 elapsed=0.1s
33873c2	0.092645	120	discard	E=E081/r6_pump_oi_rejects_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
33873c2	0.191653	102	discard	E=E082/r6_pump_taker_buy_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.51 best_sl=5.10 elapsed=0.1s
33873c2	0.000000	0	crash	E=E083/r6_pump_low_liq_avoid X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
33873c2	0.175909	92	discard	E=E084/r6_pump_high_liq_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.51 best_sl=5.10 elapsed=0.1s
33873c2	0.000000	0	crash	E=E085/r6_pump_premium_extreme_short X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
33873c2	0.092645	120	discard	E=E086/r6_pump_funding_extreme_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=5.73 elapsed=0.1s
