entry_id,archetype,channel,side,novel_dim,n_exits_tested,best_score,median_score,best_exit,best_exit_family,best_tp,best_sl,best_triggers
E095,cc_three_channel_within_5m_long,*,long,all_three_channels_within_5m; side_signal=pump,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E099,cc_pc_crash_no_r6_long,*,long,pc_crash; no_r6_within_5m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E100,cc_pc_then_oi_funding_align_long,*,long,pc_then_oi_within_5m; funding_aligned,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E166,cc_pc_pump_oi_pump_5m_strong_long,*,long,pc_and_oi_pump_within_5m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E170,cc_oi_then_pc_30s_immediate_long,*,long,oi_then_pc_within_30s,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E171,cc_oi_then_pc_2m_long,*,long,oi_then_pc_within_2m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E172,cc_oi_then_pc_5m_funding_align_long,*,long,oi_then_pc_within_5m; funding_aligned,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E173,cc_three_channel_2m_strong_long,*,long,all_three_channels_within_2m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E174,cc_three_channel_3m_strong_long,*,long,all_three_channels_within_3m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E175,cc_three_channel_pretrend_align_long,*,long,all_three_within_5m; pretrend_aligned,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E176,cc_pc_only_no_oi_5m_avoid,*,both,pc_no_oi_within_5m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E177,cc_oi_only_no_pc_5m_long,*,long,oi_no_pc_within_5m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E178,cc_r6_after_oi_pump_long,*,long,r6_after_oi_pump_within_5m,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E180,cc_pc_oi_taker_align_long,*,long,pc_oi_taker_aligned,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E182,cc_pc_oi_funding_align_long,*,long,pc_oi_funding_align,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E183,cc_pc_then_oi_burst_avoid,*,both,pc_then_oi_in_burst,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E184,cc_oi_with_pc_burst_avoid,*,both,oi_in_pc_burst,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E185,cc_three_channel_30s_window_long,*,long,all_three_within_30s,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E186,cc_three_channel_60s_window_long,*,long,all_three_within_60s,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E187,cc_pc_oi_basis_align_long,*,long,pc_oi_basis_align,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E193,cc_pc_oi_top_trader_align_long,*,long,pc_oi_top_trader_aligned,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E194,cc_pc_oi_global_short_extreme_long,*,long,pc_oi_global_short_extreme,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E196,cc_pc_btc_align_oi_align_long,*,long,pc_btc_align; oi_btc_align,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E198,cc_pc_oi_session_us_long,*,long,pc_oi_session=US,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E141,pc_pump_session_us_long,pricechange,long,side_signal=pump; session=US,13,0.225019,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,1380
E142,pc_pump_session_asia_short,pricechange,short,side_signal=pump; session=Asian,13,0.219275,-0.28,fixed_tp1_sl1_symmetric,fixed,0.32,5.73,1370
E093,cc_r6_after_burst_short,*,short,r6_after_pc_burst_3plus,13,0.217159,-0.28,fixed_tp1_sl1_symmetric,fixed,0.32,5.73,5000
E096,cc_pc_oi_diverge_short,*,short,pc_pump_oi_falling_within_5m,13,0.217159,-0.28,fixed_tp1_sl1_symmetric,fixed,0.32,5.73,5000
E097,cc_oi_r6_align_short,*,short,oi_and_r6_within_5m; side_event=crash,13,0.217159,-0.28,fixed_tp1_sl1_symmetric,fixed,0.32,5.73,5000
