strategy_family,channel,event_type,side,entry_timing,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,entry_catalog_score
contrarian_crash_fade,BWE_pricechange_monitor,ANY,long,3m,132,132,132,110,155.0,155,10.251999646425247,9.026999771595,-5.224158987402916,0.0211495218002796,0.0168620222383737,0.4697622250000001,0.50021,100.0,0.0,100.0,9.47872921824455,3,2,1,11.612903225806452,v6_a17e273f5ee1b649d9,155,higher_confidence_watchlist,0.5242718446601942
premium_basis_overheat,ANY,ANY,long,1m,5017,5017,4662,4314,279.0,1344,13.36502730846405,0.1882858807221055,-1.579781249165535,0.0466178463339805,-0.0009211846447177,0.3434859,0.6568411749999999,47.27925054813634,0.0,100.0,0.6400153273716569,37,8,1,17.598343685300208,v6_5f9d5a5ecb907bdf12,122,higher_confidence_watchlist,0.5200970873786408
taker_flow_reversal,BWE_OI_Price_monitor,ANY,long,T0,147,147,72,72,26.0,163,4.275841265916824,3.908704221248626,-1.7241587862372398,0.0108238484898209,0.004688177024573,0.44077055,0.4825601,100.0,0.0,100.0,4.360433667898178,4,3,1,18.181818181818183,v6_769499818f158e3425,163,higher_confidence_watchlist,0.5115533980582524
freshness_strict_confirmation,BWE_pricechange_monitor,ANY,long,5m,2270,2270,2076,2076,921.0,2018,7.296763360500336,5.909000709652901,-5.224158987402916,0.0118661947995424,0.0072522959664463,0.4654553,0.501487425,54.40528634361234,0.0,100.0,6.360730156302452,8,3,1,5.646036916395222,v6_8267bf70df4e3e824d,921,higher_confidence_watchlist,0.5094174757281553
freshness_strict_confirmation,ANY,crash,long,30s,618,618,508,245,72.0,181,14.89451825618744,1.688629575073719,-2.1775592118501663,0.0376983369344472,0.0039844681452028,0.4189149249999999,0.5926375500000001,82.52427184466019,0.0,100.0,2.1403590217232704,10,3,1,10.81081081081081,v6_9ee502694fdb0e38a5,139,higher_confidence_watchlist,0.5069902912621359
premium_basis_overheat,ANY,crash,short,5m,291,291,0,0,27.0,43,7.406754046678543,5.887006223201752,-4.224158823490143,0.0153911626929044,0.0074200447648763,0.3973553,0.490595625,100.0,0.0,100.0,6.338735669851303,4,2,1,31.818181818181817,v6_cf9d227c0ebdfbf6e3,43,exploratory_watchlist,0.5068932038834951
premium_basis_overheat,ANY,crash,short,1m,216,216,0,0,43.0,43,5.406581610441208,5.406581610441208,-4.224158823490143,0.0083905591660737,0.0083905591660737,0.4431773,0.4431773,100.0,0.0,100.0,5.858311057090759,2,1,1,20.930232558139537,v6_74b3b3941d94b55960,43,exploratory_watchlist,0.499514563106796
freshness_strict_confirmation,ANY,crash,long,5m,358,358,222,134,72.0,139,15.515638887882233,2.0099781453609467,-5.224158987402916,0.040032259145379,0.003565390535742,0.36859095,0.6481151,81.28491620111731,0.0,100.0,2.461707592010498,5,4,1,9.448818897637794,v6_ef015ab74b7c8a6874,139,higher_confidence_watchlist,0.4855339805825243
contrarian_crash_fade,BWE_pricechange_monitor,ANY,long,1m,117,117,117,117,155.0,921,11.96778044104576,10.427780449390411,-5.224158987402916,0.0271547545814514,0.0217647546106576,0.502925925,0.540609275,86.32478632478633,0.0,100.0,10.879509896039965,4,3,1,11.612903225806452,v6_5492d1f1690c533da2,155,higher_confidence_watchlist,0.4854368932038835
taker_flow_reversal,BWE_OI_Price_monitor,ANY,long,30s,78,78,0,0,26.0,26,4.275841265916824,4.275841265916824,-1.7241587862372398,0.0105796102324128,0.0104296102324128,0.4382462,0.43874175,100.0,0.0,100.0,4.727570712566376,4,1,1,26.923076923076923,v6_9a9ca5a2449820e27a,26,early_alpha,0.4787378640776699
no_trade_freshness_boundary,ANY,crash,short,5m,131,131,0,0,43.0,43,6.498824805021286,5.27382455766201,-3.2241586595773697,0.0142934108388423,0.0100059099730849,0.439750975,0.467145775,100.0,0.0,100.0,5.725554004311562,1,1,1,20.930232558139537,v6_bfd631c5892614a5bb,43,exploratory_watchlist,0.4777669902912621
contrarian_crash_fade,BWE_pricechange_monitor,crash,long,1m,69,69,69,0,93.0,93,10.080527514219284,7.980526983737946,-5.224158987402916,0.0205493693375587,0.013199367480874,0.44141565,0.48874065,100.0,0.0,100.0,8.432256430387497,1,1,1,10.75268817204301,v6_604d664c750cb180ef,93,validated_watchlist,0.4758252427184465
contrarian_crash_fade,BWE_pricechange_monitor,crash,long,3m,225,225,110,0,26.0,93,9.6365787088871,2.480722963809967,-4.304999113082886,0.018835548518896,0.0048692134810239,0.375075625,0.4531042,100.0,0.0,100.0,2.9324524104595184,3,2,1,19.23076923076924,v6_bf93003280fceceaf6,93,validated_watchlist,0.4755339805825243
