strategy_id,strategy_family,side,entry_timing,exit_family,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,cost_stress_gap_pct,robust_score,strategy_similarity_cluster_id,baseline_lift_pct
v6_d9ce09ee1a3aaac0ef,freshness_strict_confirmation,long,30s,prove_or_exit,201,higher_confidence_watchlist,13.732866942882538,-5.224158987402916,13.46454918384552,0.2683177590370178,0.0433319306963682,cluster_d32ab01e09,14.18459638953209
v6_fe51132f0924f11716,premium_basis_overheat,long,5m,state_machine,122,higher_confidence_watchlist,13.922671973705292,-2.2241588681936264,13.654354214668274,0.2683177590370178,0.0432968753033876,cluster_e8c0cdb9e5,14.374401420354843
v6_2d20498c3382850cd6,cross_channel_continuation,long,3m,runner_trail,365,higher_confidence_watchlist,14.371080696582794,-3.2241586595773697,14.102762937545776,0.2683177590370178,0.0429263064593076,cluster_846d0a447c,14.822810143232346
v6_6205528bd97144e177,cross_channel_continuation,long,1m,runner_trail,365,higher_confidence_watchlist,14.345674216747284,-3.2241586595773697,14.077356457710266,0.2683177590370178,0.0428373837798833,cluster_0f7aba6158,14.797403663396835
v6_485d4be02d5af41d9f,cross_channel_continuation,long,1m,runner_trail,365,higher_confidence_watchlist,14.345674216747284,-3.2241586595773697,14.077356457710266,0.2683177590370178,0.0428373837798833,cluster_254bf35ef6,14.797403663396835
v6_1ee79d68a70481c086,contrarian_crash_fade,long,30s,fixed_tp_sl,221,higher_confidence_watchlist,7.775840908288956,-2.2241588681936264,7.507523149251938,0.2683177590370178,0.0422429661273956,cluster_4f7c5ecc8e,8.227570354938507
v6_d7085bf20253ee9bdb,contrarian_crash_fade,long,T0,fixed_tp_sl,221,higher_confidence_watchlist,7.775840908288956,-2.2241588681936264,7.507523149251938,0.2683177590370178,0.0422429661273956,cluster_e730d01d5f,8.227570354938507
v6_6720bfbfe014e4c8e0,contrarian_crash_fade,long,T0,fixed_tp_sl,172,higher_confidence_watchlist,7.775840908288956,-2.2241588681936264,7.507523149251938,0.2683177590370178,0.0422429661273956,cluster_05db8c6429,8.227570354938507
v6_26b02ac53b92c2db1b,taker_flow_reversal,long,T0,fixed_tp_sl,347,higher_confidence_watchlist,7.775840908288956,-3.2241586595773697,7.507523149251938,0.2683177590370178,0.0418429663360118,cluster_8ef15258b5,8.227570354938507
v6_63eec451f258d75775,freshness_strict_confirmation,long,30s,time_decay,273,higher_confidence_watchlist,14.890001714229584,-4.224158823490143,14.621683955192566,0.2683177590370178,0.0417425295293331,cluster_50dbfcf952,15.341731160879135
v6_d14ca9f9bf24968dec,freshness_strict_confirmation,long,30s,time_decay,273,higher_confidence_watchlist,14.890001714229584,-4.224158823490143,14.621683955192566,0.2683177590370178,0.0417425295293331,cluster_6cddd28493,15.341731160879135
v6_83180326d558c497fa,state_machine_runner,long,T0,partial_ladder,954,higher_confidence_watchlist,9.287790209054949,-5.224158987402916,9.019472450017927,0.2683177590370214,0.0415119231581688,cluster_fd399c9368,9.7395196557045
v6_45a07336b48c5b5708,state_machine_runner,long,T0,partial_ladder,954,higher_confidence_watchlist,9.287790209054949,-5.224158987402916,9.019472450017927,0.2683177590370214,0.0412119231581687,cluster_7b43b7ca06,9.7395196557045
v6_5f9d5a5ecb907bdf12,premium_basis_overheat,long,1m,state_machine,122,higher_confidence_watchlist,13.289594650268556,-2.2241588681936264,13.021278381347656,0.2683162689209002,0.041081104671359,cluster_bd0d4df2d1,13.741324096918108
v6_c81485f05eeb4ff976,premium_basis_overheat,long,1m,state_machine,122,higher_confidence_watchlist,13.289594650268556,-2.2241588681936264,13.021278381347656,0.2683162689209002,0.041081104671359,cluster_d8b6830aa1,13.741324096918108
v6_ad84f9c49cf5f47784,premium_basis_overheat,long,30s,partial_ladder,954,higher_confidence_watchlist,9.30081158876419,-5.224158987402916,9.032493829727173,0.2683177590370178,0.0409765403181314,cluster_3b1a9d2be5,9.752541035413742
v6_b49301f9d80411f675,state_machine_runner,long,T0,breakeven_ratchet,130,higher_confidence_watchlist,15.363207459449768,-5.224158987402916,15.09488970041275,0.2683177590370178,0.0403987491458654,cluster_f23752af84,15.81493690609932
v6_ad5e423d50a9ee2548,state_machine_runner,long,T0,breakeven_ratchet,130,higher_confidence_watchlist,15.363207459449768,-5.224158987402916,15.09488970041275,0.2683177590370178,0.0400987491458654,cluster_7ae9330869,15.81493690609932
v6_ef015ab74b7c8a6874,freshness_strict_confirmation,long,5m,state_machine,139,higher_confidence_watchlist,15.515638887882233,-5.224158987402916,15.247321128845217,0.26831775903701605,0.040032259145379,cluster_0d959dca18,15.967368334531784
v6_3d20acb9600710ec6d,liquidity_filtered_momentum,long,T0,runner_trail,340,higher_confidence_watchlist,13.507437705993652,-3.2241586595773697,13.239118456840515,0.2683192491531372,0.0399035559922456,cluster_c5b0e6564e,13.959167152643204
v6_e4c3cf4ac60c2fd343,state_machine_runner,long,3m,fixed_tp_sl,807,higher_confidence_watchlist,7.775840908288956,-5.224158987402916,7.507523149251938,0.2683177590370178,0.0395429660081863,cluster_ae09d48a8c,8.227570354938507
v6_a2f6b5deb5cd6a2cf0,state_machine_runner,long,T0,time_decay,455,higher_confidence_watchlist,13.868565857410433,-4.224158823490143,13.600248098373411,0.2683177590370214,0.038167504030466,cluster_31cd6b276c,14.320295304059984
v6_e092b5485c21b2fd30,state_machine_runner,long,T0,time_decay,455,higher_confidence_watchlist,13.868565857410433,-4.224158823490143,13.600248098373411,0.2683177590370214,0.038167504030466,cluster_c720bc8545,14.320295304059984
v6_c0fab0d0dc048f7b2e,contrarian_crash_fade,long,T0,state_machine,115,higher_confidence_watchlist,12.430839985609056,-2.2241588681936264,12.162522226572037,0.2683177590370196,0.0379354633450508,cluster_aa6a79dc89,12.882569432258608
v6_9ee502694fdb0e38a5,freshness_strict_confirmation,long,30s,state_machine,139,higher_confidence_watchlist,14.89451825618744,-5.224158987402916,14.62620049715042,0.2683177590370214,0.0376983369344472,cluster_6b5af3a0b7,15.346247702836992
v6_c75f4da807b49de263,freshness_strict_confirmation,long,30s,state_machine,139,higher_confidence_watchlist,14.89451825618744,-5.224158987402916,14.62620049715042,0.2683177590370214,0.0376983369344472,cluster_455a47b2f1,15.346247702836992
v6_6a8a51bf1fe9bde6ff,contrarian_crash_fade,long,30s,state_machine,115,higher_confidence_watchlist,12.25166916847229,-2.2241588681936264,11.983351409435272,0.2683177590370178,0.0373083654850721,cluster_fba3233d59,12.703398615121841
v6_1a5641ea842c849e5d,contrarian_crash_fade,long,30s,state_machine,115,higher_confidence_watchlist,12.25166916847229,-2.2241588681936264,11.983351409435272,0.2683177590370178,0.0373083654850721,cluster_55af4b649f,12.703398615121841
v6_40edf7a813cfd014e9,premium_basis_overheat,long,1m,partial_ladder,764,higher_confidence_watchlist,8.988559246063232,-5.224158987402916,8.720241487026215,0.2683177590370178,0.0371065746456384,cluster_a521654de3,9.440288692712784
v6_e5b1ca9d5063cae4d8,liquidity_filtered_momentum,long,3m,breakeven_ratchet,807,higher_confidence_watchlist,12.762847542762756,-3.2241586595773697,12.49452978372574,0.26831775903701605,0.0368374904209375,cluster_fe9a18952c,13.214576989412308
v6_c95f1dd0156eba075e,freshness_strict_confirmation,long,5m,partial_ladder,764,higher_confidence_watchlist,8.79211276769638,-5.224158987402916,8.523795008659363,0.2683177590370178,0.0364198821991682,cluster_d8b3e1e12a,9.243842214345932
v6_2a1d5d86953b3cb895,contrarian_crash_fade,long,T0,multi_tp_sl,227,higher_confidence_watchlist,11.775840818881989,-2.2241588681936264,11.50752305984497,0.2683177590370178,0.036382966261506,cluster_4959921f2f,12.22757026553154
v6_55b1a32a82d720e0ce,contrarian_crash_fade,long,30s,multi_tp_sl,227,higher_confidence_watchlist,11.775840818881989,-2.2241588681936264,11.50752305984497,0.2683177590370178,0.036382966261506,cluster_58467ca4ef,12.22757026553154
v6_a87fc467498da5b6aa,freshness_strict_confirmation,long,5m,partial_ladder,764,higher_confidence_watchlist,8.79211276769638,-5.224158987402916,8.523795008659363,0.2683177590370178,0.0361198821991682,cluster_599b812207,9.243842214345932
v6_98f632a1cf1af4b1bc,state_machine_runner,long,T0,time_decay,226,higher_confidence_watchlist,13.212153315544128,-4.224158823490143,12.94383704662323,0.26831626892089844,0.035870060133934,cluster_79c3ae1797,13.66388276219368
v6_e87afa417dafb037bc,state_machine_runner,long,T0,time_decay,226,higher_confidence_watchlist,13.212153315544128,-4.224158823490143,12.94383704662323,0.26831626892089844,0.035570060133934,cluster_6cd56570ab,13.66388276219368
v6_9c7760869621c2001e,state_machine_runner,long,3m,partial_ladder,764,higher_confidence_watchlist,8.740438520908356,-5.224158987402916,8.472120761871338,0.2683177590370178,0.0353685635536909,cluster_485a54d785,9.192167967557907
v6_1bdd82dba704406243,state_machine_runner,long,3m,partial_ladder,764,higher_confidence_watchlist,8.740438520908356,-5.224158987402916,8.472120761871338,0.2683177590370178,0.0350685635536909,cluster_71a460deb0,9.192167967557907
v6_94e1e0808cb585f7e4,taker_flow_reversal,long,T0,breakeven_ratchet,478,higher_confidence_watchlist,11.01423129439354,-1.7241587862372398,10.745913535356522,0.2683177590370178,0.0350573331716656,cluster_e336c8bb71,11.46596074104309
v6_fd9800e2001df4a45b,state_machine_runner,long,T0,multi_tp_sl,954,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0344701022744178,cluster_e8970fdec0,7.727570831775665
v6_4de9fac1eea5325c7b,state_machine_runner,long,T0,multi_tp_sl,954,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0341701022744178,cluster_ca8748bfb3,7.727570831775665
v6_421c3905f6e566d7a4,contrarian_crash_fade,long,30s,multi_tp_sl,954,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0339542678952217,cluster_517adc752e,7.727570831775665
v6_9db0042f553a3856d0,liquidity_filtered_momentum,long,3m,runner_trail,737,higher_confidence_watchlist,11.844419687986374,-3.2241586595773697,11.576101928949356,0.2683177590370178,0.0337829929292202,cluster_142a76cbe0,12.296149134635925
v6_ca60f9ead3c1807ba3,state_machine_runner,long,T0,fixed_tp_sl,321,higher_confidence_watchlist,4.775841161608696,4.775841161608696,4.507523402571678,0.2683177590370178,0.0336429675504565,cluster_13629bbef4,5.227570608258247
v6_591f1ac2198781805c,premium_basis_overheat,long,30s,fixed_tp_sl,321,higher_confidence_watchlist,4.775841161608696,4.775841161608696,4.507523402571678,0.2683177590370178,0.0333429675504565,cluster_8cd20f8b08,5.227570608258247
v6_48bb47a0cb5c278a1a,state_machine_runner,long,T0,fixed_tp_sl,321,higher_confidence_watchlist,4.775841161608696,4.775841161608696,4.507523402571678,0.2683177590370178,0.0333429675504565,cluster_0bfc3bcc2a,5.227570608258247
v6_8d463f841b16fa58b6,contrarian_crash_fade,long,1m,time_decay,764,higher_confidence_watchlist,12.392345070838928,-4.224158823490143,12.12402731180191,0.2683177590370178,0.0333007312774658,cluster_5a1bfb284e,12.84407451748848
v6_175c9f21b2069963c3,contrarian_crash_fade,long,T0,partial_ladder,147,higher_confidence_watchlist,10.92001423239708,-2.2241588681936264,10.651696473360062,0.2683177590370178,0.0332275732088089,cluster_abea9e3eef,11.37174367904663
v6_d34b12858cbf74c70a,contrarian_crash_fade,long,30s,partial_ladder,147,higher_confidence_watchlist,10.823347419500353,-2.2241588681936264,10.555029660463331,0.2683177590370214,0.0327292393636703,cluster_4005c89e32,11.275076866149904
v6_cf2390d96bd3572205,message_context_breakout,long,30s,runner_trail,273,higher_confidence_watchlist,11.490709334611893,-3.2241586595773697,11.222391575574877,0.26831775903701605,0.0326850066924095,cluster_f1c002c3a1,11.942438781261444
v6_805926514d8a28f960,message_context_breakout,long,30s,runner_trail,273,higher_confidence_watchlist,11.490709334611893,-3.2241586595773697,11.222391575574877,0.26831775903701605,0.0326850066924095,cluster_3e02471ac1,11.942438781261444
v6_b3ca0833d09f09fde9,state_machine_runner,long,T0,partial_ladder,954,higher_confidence_watchlist,7.4677906930446625,-5.224158987402916,7.199472934007645,0.2683177590370178,0.0326694534063339,cluster_cd4727edd8,7.919520139694214
v6_dd93f340141b39edae,state_machine_runner,long,3m,multi_tp_sl,346,higher_confidence_watchlist,10.711535811424255,-2.2241588681936264,10.443218052387238,0.2683177590370178,0.032657898735404,cluster_8551f8f0bd,11.163265258073807
v6_1abff02253aec8b433,state_machine_runner,long,T0,partial_ladder,954,higher_confidence_watchlist,7.4677906930446625,-5.224158987402916,7.199472934007645,0.2683177590370178,0.0323694534063339,cluster_9b6a154ab4,7.919520139694214
v6_816234d945014d12ab,state_machine_runner,long,3m,multi_tp_sl,346,higher_confidence_watchlist,10.711535811424255,-2.2241588681936264,10.443218052387238,0.2683177590370178,0.032357898735404,cluster_7c8a2780b6,11.163265258073807
v6_2e02c1b43534596909,premium_basis_overheat,long,1m,partial_ladder,173,higher_confidence_watchlist,10.617246478796003,-2.2241588681936264,10.348928719758987,0.26831775903701605,0.0323278860712051,cluster_6378469184,11.068975925445555
v6_d5521465f92643f8ac,state_machine_runner,long,3m,indicator_invalidation,109,higher_confidence_watchlist,6.998381763696671,0.7156756240874529,6.730064004659653,0.2683177590370187,0.0322258655894547,cluster_426811b97d,7.450111210346223
v6_d9d4e1637811e67347,state_machine_runner,long,T0,partial_ladder,145,higher_confidence_watchlist,7.461998611688614,-5.224158987402916,7.193680852651596,0.2683177590370178,0.0321057168722152,cluster_414315d906,7.913728058338165
v6_dc5702f0aa347cd4ea,state_machine_runner,long,T0,partial_ladder,420,higher_confidence_watchlist,7.487475872039795,-5.224158987402916,7.219158113002777,0.2683177590370178,0.031921364685893,cluster_3825bb941b,7.939205318689346
v6_9e27c111cdf00baf2e,freshness_strict_confirmation,long,30s,failed_continuation,1091,higher_confidence_watchlist,12.874987721443176,-5.224158987402916,12.606669962406158,0.2683177590370178,0.0316899800628423,cluster_c0b54aaa11,13.326717168092728
v6_30283647581f182345,freshness_strict_confirmation,long,30s,failed_continuation,1091,higher_confidence_watchlist,12.874987721443176,-5.224158987402916,12.606669962406158,0.2683177590370178,0.0316899800628423,cluster_d0b59956ec,13.326717168092728
v6_8529c4fd087078bf9c,freshness_strict_confirmation,long,30s,failed_continuation,1091,higher_confidence_watchlist,12.874987721443176,-5.224158987402916,12.606669962406158,0.2683177590370178,0.0316899800628423,cluster_a21b94b29b,13.326717168092728
v6_87c88bb104ce2e6181,state_machine_runner,long,T0,partial_ladder,420,higher_confidence_watchlist,7.487475872039795,-5.224158987402916,7.219158113002777,0.2683177590370178,0.031621364685893,cluster_5fba880647,7.939205318689346
v6_34455872f8e72dfc75,premium_basis_overheat,long,5m,time_decay,434,higher_confidence_watchlist,11.868824064731598,-4.224158823490143,11.60050630569458,0.2683177590370178,0.0311684077560901,cluster_605c66c4e7,12.32055351138115
v6_01850bef24c0f6ad32,contrarian_crash_fade,long,30s,partial_ladder,420,higher_confidence_watchlist,7.506413757801056,-5.224158987402916,7.238095998764038,0.2683177590370178,0.0311573149591684,cluster_487359610f,7.958143204450607
v6_589e2ba45518ee5e67,contrarian_crash_fade,long,1m,multi_tp_sl,764,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0310147143959999,cluster_12425b2978,7.727570831775665
v6_cf3dec2fb6da5ee618,oi_funding_continuation,long,1m,partial_ladder,185,higher_confidence_watchlist,9.173708409070969,-5.224158987402916,8.90539065003395,0.2683177590370178,0.030699804803729,cluster_beac0c3c87,9.62543785572052
v6_f806acd5ff4bf96ae8,oi_funding_continuation,long,1m,partial_ladder,185,higher_confidence_watchlist,9.173708409070969,-5.224158987402916,8.90539065003395,0.2683177590370178,0.030699804803729,cluster_e1e1087c7e,9.62543785572052
v6_8e75f5360073ac6715,freshness_strict_confirmation,long,5m,time_decay,764,higher_confidence_watchlist,11.64555326104164,-4.224158823490143,11.377235502004623,0.26831775903701605,0.0306869599431753,cluster_ca81c35f1c,12.09728270769119
v6_443661ebb1cf03eb69,taker_flow_reversal,long,30s,breakeven_ratchet,478,higher_confidence_watchlist,9.72033366560936,-1.7241587862372398,9.452015906572342,0.2683177590370178,0.030528691470921,cluster_5b5a3a413b,10.172063112258911
v6_d99a641c85af74ea47,freshness_strict_confirmation,long,5m,time_decay,764,higher_confidence_watchlist,11.64555326104164,-4.224158823490143,11.377235502004623,0.26831775903701605,0.0303869599431753,cluster_aad9b14483,12.09728270769119
v6_a2c2ca55a74e895f5b,freshness_strict_confirmation,long,5m,multi_tp_sl,764,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0297994282603263,cluster_855e0141c8,7.727570831775665
v6_38ab28153b90925b59,state_machine_runner,long,3m,multi_tp_sl,764,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0297192578673362,cluster_b1f37a93ba,7.727570831775665
v6_855ebe5f961d6c5e7e,freshness_strict_confirmation,long,5m,multi_tp_sl,764,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0294994282603263,cluster_47ca33f676,7.727570831775665
v6_96192c9631be4d94b1,oi_funding_continuation,long,3m,multi_tp_sl,764,higher_confidence_watchlist,7.275841385126114,-5.224158987402916,7.007523626089096,0.2683177590370178,0.0294192578673362,cluster_f5de6029a3,7.727570831775665
v6_3eca9819eb14157178,liquidity_filtered_momentum,long,T0,indicator_invalidation,145,higher_confidence_watchlist,10.496475547552109,-3.2241586595773697,10.228157788515093,0.26831775903701605,0.0293651884377002,cluster_6ec24bc333,10.94820499420166
v6_57afae7b9dd94535db,freshness_strict_confirmation,long,5m,failed_continuation,1091,higher_confidence_watchlist,12.208475917577744,-5.224158987402916,11.940158158540726,0.2683177590370178,0.0293571887493133,cluster_519484606e,12.660205364227295
v6_4c829ef704277f0938,freshness_strict_confirmation,long,5m,failed_continuation,1091,higher_confidence_watchlist,12.208475917577744,-5.224158987402916,11.940158158540726,0.2683177590370178,0.0293571887493133,cluster_223e11e835,12.660205364227295
v6_f7250e9adb8b3b730a,oi_funding_continuation,long,3m,time_decay,764,higher_confidence_watchlist,11.184663325548172,-4.224158823490143,10.916345566511154,0.2683177590370178,0.0290738451689481,cluster_003fe7fd58,11.636392772197723
v6_a04163964ebeaa88cf,premium_basis_overheat,long,5m,partial_ladder,173,higher_confidence_watchlist,9.651701152324677,-2.2241588681936264,9.38338339328766,0.26831775903701605,0.0289484774285554,cluster_fc94c5d707,10.103430598974228
v6_fa14f44fd2bce32b5e,state_machine_runner,long,3m,time_decay,764,higher_confidence_watchlist,11.184663325548172,-4.224158823490143,10.916345566511154,0.2683177590370178,0.0287738451689481,cluster_0206653ff0,11.636392772197723
v6_1ea3c18b400aeb3b5f,contrarian_crash_fade,long,30s,fixed_tp_sl,341,higher_confidence_watchlist,7.775840908288956,-5.224158987402916,7.507523149251938,0.2683177590370178,0.0283355830669403,cluster_d27e50a144,8.227570354938507
v6_6a66faa3d3df2f7a47,freshness_strict_confirmation,long,5m,time_decay,634,higher_confidence_watchlist,11.01420447230339,-4.224158823490143,10.745886713266373,0.2683177590370178,0.0281772391825914,cluster_d00836faa0,11.465933918952942
v6_88ee9613775e755bdb,state_machine_runner,long,T0,runner_trail,186,higher_confidence_watchlist,11.847403645515442,-5.224158987402916,11.579085886478424,0.2683177590370178,0.0280934357970952,cluster_3eb97e5ec8,12.299133092164993
v6_8e0a04c6e923277f94,freshness_strict_confirmation,long,5m,time_decay,634,higher_confidence_watchlist,11.01420447230339,-4.224158823490143,10.745886713266373,0.2683177590370178,0.0278772391825914,cluster_25b29ec9e2,11.465933918952942
v6_d06416fc985a531a89,state_machine_runner,long,T0,runner_trail,186,higher_confidence_watchlist,11.847403645515442,-5.224158987402916,11.579085886478424,0.2683177590370178,0.0277934357970952,cluster_7509593583,12.299133092164993
v6_2ab57d518d9457abdf,state_machine_runner,long,3m,multi_tp_sl,737,higher_confidence_watchlist,11.775840818881989,-5.224158987402916,11.50752305984497,0.2683177590370178,0.0275429659038782,cluster_89e08d8937,12.22757026553154
v6_5492d1f1690c533da2,contrarian_crash_fade,long,1m,state_machine,155,higher_confidence_watchlist,11.96778044104576,-5.224158987402916,11.699462682008743,0.26831775903701605,0.0271547545814514,cluster_461d08a90b,12.41950988769531
v6_d5398821ed22dded9f,freshness_strict_confirmation,long,5m,state_machine,904,higher_confidence_watchlist,11.772577464580536,-5.224158987402916,11.504259705543518,0.2683177590370178,0.0270715441638231,cluster_4a0d93bcee,12.224306911230087
v6_dd6803d41110fba265,contrarian_crash_fade,long,30s,failed_continuation,341,higher_confidence_watchlist,9.582211822271349,-5.224158987402916,9.31389406323433,0.2683177590370196,0.0261509254038333,cluster_b4f440e8a8,10.0339412689209
v6_a7eb81aeb32d9eee76,premium_basis_overheat,long,1m,time_decay,149,higher_confidence_watchlist,10.545598715543749,-4.224158823490143,10.27728095650673,0.2683177590370196,0.0259171190339326,cluster_972f1b223c,10.9973281621933
