strategy_family,side,entry_timing,exit_family,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,combined_funnel_score
freshness_strict_confirmation,short,5m,runner_trail,129,129,0,0,23.0,23,2.7148937806487083,1.9148938357830048,-1.2695886194705963,0.0090450480708852,0.0090042048495262,0.377761,0.4031877,100.0,34.10852713178294,100.0,2.366623282432556,1,1,1,34.78260869565217,v6_ce6d2920b4e69b84f5,23,early_alpha,0.4209865470852018
message_context_breakout,long,5m,multi_tp_sl,93,93,93,93,904.0,904,7.275841385126114,7.275841385126114,-3.2241586595773697,0.0167318346309661,0.0167318346309661,0.4847384749999999,0.4847384749999999,100.0,0.0,100.0,7.727570831775665,2,1,1,6.526548672566372,v6_cd6a16cf69375c6917,904,higher_confidence_watchlist,0.4200448430493273
premium_basis_overheat,short,1m,time_decay,216,216,0,0,43.0,43,5.406581610441208,5.406581610441208,-4.224158823490143,0.0083905591660737,0.0083905591660737,0.4431773,0.4431773,100.0,0.0,100.0,5.858311057090759,2,1,1,20.930232558139537,v6_74b3b3941d94b55960,43,exploratory_watchlist,0.4168161434977578
message_context_breakout,long,5m,partial_ladder,134,134,134,134,501.0,501,6.276791542768478,4.456791281700134,-3.2241586595773697,0.0144362944209575,0.0080662935072183,0.443641775,0.4917657500000001,100.0,0.0,100.0,4.908520728349686,1,1,1,10.379241516966069,v6_c46fdc67515fa37c56,501,higher_confidence_watchlist,0.4077578475336323
contrarian_crash_fade,long,T0,prove_or_exit,265,265,131,0,25.0,63,9.829632192850111,4.8769161105155945,-5.224158987402916,0.0274442763590812,0.0076474805182218,0.33979245,0.521250675,100.0,0.0,100.0,5.328645557165146,4,1,1,44.0,v6_e5b29bc1724074a6cb,63,validated_watchlist,0.4073094170403587
freshness_strict_confirmation,long,1m,multi_tp_sl,110,110,110,110,248.0,662,7.1130454540252686,3.350778669118881,-2.2241588681936264,0.0101070270985364,0.0065952487373352,0.4403014,0.4639389000000001,100.0,0.0,100.0,3.802508115768432,3,1,1,10.080645161290322,v6_6d772bbaf9b69e2420,662,higher_confidence_watchlist,0.4063677130044844
cross_channel_continuation,long,1m,partial_ladder,147,147,147,147,216.0,659,4.94917631149292,3.1291764229536057,-3.2241586595773697,0.0097896411114931,0.0031351075240969,0.41544985,0.476310475,100.0,0.0,100.0,3.580905869603157,2,1,1,9.722222222222223,v6_e6d639277e5dd0b0e5,659,higher_confidence_watchlist,0.4021076233183856
taker_flow_reversal,long,30s,multi_tp_sl,78,78,0,0,26.0,26,4.275841265916824,4.275841265916824,-1.7241587862372398,0.0105796102324128,0.0104296102324128,0.4382462,0.43874175,100.0,0.0,100.0,4.727570712566376,4,1,1,26.923076923076923,v6_9a9ca5a2449820e27a,26,early_alpha,0.3973542600896861
cross_channel_continuation,long,3m,partial_ladder,110,110,110,110,659.0,659,5.037424713373184,3.21742445230484,-3.2241586595773697,0.010098510518074,0.0034693073624372,0.4195529,0.4785694,100.0,0.0,100.0,3.669153898954392,2,1,1,3.186646433990896,v6_9d99b52736c9b25e14,659,higher_confidence_watchlist,0.3937668161434978
no_trade_freshness_boundary,short,5m,state_machine,131,131,0,0,43.0,43,6.498824805021286,5.27382455766201,-3.2241586595773697,0.0142934108388423,0.0100059099730849,0.439750975,0.467145775,100.0,0.0,100.0,5.725554004311562,1,1,1,20.930232558139537,v6_bfd631c5892614a5bb,43,exploratory_watchlist,0.3932286995515695
contrarian_crash_fade,long,T0,indicator_invalidation,224,224,138,0,69.0,69,4.004145413637161,4.004145413637161,-5.224158987402916,0.0136226793342828,0.0133226793342828,0.39861875,0.39988695,100.0,0.0,100.0,4.455874860286713,4,1,1,15.942028985507244,v6_dcf3c71159165ac377,69,validated_watchlist,0.3932286995515694
taker_flow_reversal,long,T0,multi_tp_sl,69,69,0,0,26.0,30,6.469406187534332,4.275841265916824,-1.7241587862372398,0.0127887686191002,0.0108238484898209,0.4398389499999999,0.44077055,100.0,0.0,100.0,4.727570712566376,3,1,1,26.923076923076923,v6_0903bdf955fd13fba4,26,early_alpha,0.3926457399103139
state_machine_runner,long,T0,trailing_stop,6946,6946,3680,2977,83.0,1401,1.8861059099435808,-0.1641349168494343,-0.8241589181125164,0.0037618996039032,-0.0028869129030965,0.28264515,0.4513766,4.83731644111719,0.0,100.0,0.2875945298001171,39,1,1,18.84057971014493,v6_ea62f2be42ccf89fd3,321,higher_confidence_watchlist,0.3900896860986547
liquidity_filtered_momentum,long,3m,fixed_tp_sl,13,13,13,0,58.0,58,1.7758410423994064,1.7758410423994064,-1.158239413052797,0.0056704073902219,0.0056704073902219,0.467379225,0.467379225,100.0,0.0,100.0,2.227570489048958,1,1,1,15.517241379310343,v6_c1f4436eb266aa6d21,58,validated_watchlist,0.3802242152466368
oi_funding_continuation,long,30s,partial_ladder,75,75,75,0,58.0,59,1.7676018178462982,1.4798007905483246,-2.2241588681936264,0.0045488762199878,0.0033741989672184,0.4189149249999999,0.43140405,100.0,0.0,100.0,1.931530237197876,2,1,1,8.620689655172415,v6_dc8ddeac8cf7b4d915,59,validated_watchlist,0.3724215246636771
message_context_breakout,long,30s,indicator_invalidation,219,219,219,219,522.0,522,2.8575848788022995,2.8575848788022995,-3.2241586595773697,0.0024690710970759,0.0024690710970759,0.402331725,0.402331725,100.0,0.0,100.0,3.309314325451851,1,1,1,6.513409961685824,v6_aad00907b6ad2bf4d5,522,higher_confidence_watchlist,0.3707174887892376
