strategy_family,side,entry_timing,exit_family,rows,unique_clusters,median_sample,max_sample,best_median,median_of_medians,median_p10,best_p10,median_stress,best_stress,positive_p10_rate,positive_stress_rate,best_robust,median_robust,median_top_symbol_share,longform_score
state_machine_runner,long,T0,multi_tp_sl,1235,23,79.0,1401,7.275841385126114,1.369466632604599,-2.2241588681936264,4.486499726772308,1.1011488735675812,7.007523626089096,8.178137651821862,100.0,0.0471036273449659,0.0047980771020054,9.243697478991598,0.5699551569506727
liquidity_filtered_momentum,long,3m,runner_trail,409,5,737.0,1348,11.844419687986374,8.728355914354324,-3.2241586595773697,-3.2241586595773697,8.460038155317307,11.576101928949356,0.0,100.0,0.0337829929292202,0.023016769721508,14.688427299703264,0.5697309417040358
premium_basis_overheat,long,1m,indicator_invalidation,223,3,30.0,220,16.12114906311035,3.2415375113487244,-5.224158987402916,2.1631337702274323,2.9732197523117065,15.852829813957214,49.327354260089685,100.0,0.0810006510913372,0.0078812654912099,10.0,0.5682062780269058
freshness_strict_confirmation,long,30s,indicator_invalidation,538,8,35.0,64,19.70979869365692,2.3031407967209816,-3.574330359697342,-2.00541615486145,2.034823037683964,19.441479444503784,0.0,100.0,0.0545518184655904,0.0065261631356179,12.5,0.5662780269058296
contrarian_crash_fade,long,T0,partial_ladder,379,5,49.0,147,13.00937682390213,6.457376480102539,-2.2241588681936264,-1.663433574140072,6.189058721065521,12.741059064865112,0.0,100.0,0.0627008522868156,0.0229766030803322,10.884353741496598,0.5659641255605382
liquidity_filtered_momentum,long,T0,multi_tp_sl,666,8,416.0,1401,7.275841385126114,4.275841265916824,-3.2241586595773697,-1.7241587862372398,4.007523506879807,7.007523626089096,0.0,100.0,0.0203861599743366,0.0118346714318295,4.326923076923077,0.5655156950672645
contrarian_crash_fade,long,T0,state_machine,469,5,91.0,236,14.225193858146667,4.606905952095985,-5.224158987402916,-1.3144821859896183,4.338588193058968,13.95687609910965,0.0,100.0,0.0442157018989324,0.0148529303759336,12.087912087912088,0.5632735426008969
premium_basis_overheat,long,30s,multi_tp_sl,257,3,420.0,954,7.275841385126114,2.025841176509857,-5.224158987402916,4.494784772396088,1.7575234174728394,7.007523626089096,43.190661478599225,100.0,0.0468119123905897,0.0148487165153026,3.571428571428571,0.5626008968609866
oi_funding_continuation,short,3m,time_decay,133,2,38.0,38,23.821711540222168,21.56098037958145,-4.224158823490143,-4.224158823490143,21.292662620544437,23.55339527130127,0.0,100.0,0.0724035139203071,0.0646309548580646,28.947368421052637,0.5623766816143498
premium_basis_overheat,long,5m,indicator_invalidation,201,3,43.0,220,15.34295529127121,3.878658264875412,-4.079200327396393,2.433507516980171,3.610340505838394,15.074637532234192,31.343283582089555,100.0,0.078315340027213,0.0146464725548028,20.930232558139537,0.5538565022421524
freshness_strict_confirmation,long,5m,multi_tp_sl,707,9,441.0,3795,7.275841385126114,4.68161553144455,-5.224158987402916,-2.2241588681936264,4.413297772407532,7.007523626089096,0.0,100.0,0.0297994282603263,0.0032985340942442,5.895691609977324,0.5535874439461883
liquidity_filtered_momentum,long,T0,partial_ladder,1045,7,391.0,1401,8.426816761493683,4.752220958471298,-3.2241586595773697,-3.2241586595773697,4.48390319943428,8.158499002456665,0.0,100.0,0.0224213826864957,0.0090748349159955,3.324808184143223,0.5526905829596414
oi_funding_continuation,long,3m,partial_ladder,431,7,764.0,3795,8.740438520908356,4.884985834360123,-5.224158987402916,-5.224158987402916,4.616668075323105,8.472120761871338,0.0,100.0,0.0353685635536909,0.0156144251406192,4.057591623036649,0.5524663677130045
