strategy_similarity_cluster_id,strategy_family,side,exit_family,strategies,sample_gt15_count,median_sample_size,best_median_net_pct,median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,positive_stress_rate_pct,future_safety_pass_rate_pct,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,neighborhood_stability_score,source_cluster_strategies,source_cluster_best_strategy_id,source_cluster_best_robust_score
cluster_f25a95ebe4,state_machine_runner,long,breakeven_ratchet,532,532,764.0,14.491167664527891,8.937301486730576,-2.2241588681936264,0.052337811461091,0.0270480785989761,0.6276974000000001,100.0,100.0,4.057591623036649,v6_043741d443ad66e4bd,764,higher_confidence_watchlist,0.7836343283582089,663,v6_043741d443ad66e4bd,0.052337811461091
cluster_3c0c3a6dad,premium_basis_overheat,long,runner_trail,523,523,764.0,12.654578685760498,10.266990959644318,-2.2241588681936264,0.0517225320845842,0.0318619917541742,0.64321015,100.0,100.0,4.057591623036649,v6_e5514573b1da077b9d,764,higher_confidence_watchlist,0.7834179104477612,636,v6_eea0616cbb38c32880,0.0517225320845842
cluster_e0865b637d,contrarian_crash_fade,long,partial_ladder,744,744,321.0,11.788363009691238,6.442828476428986,-2.2241588681936264,0.0599871190220117,0.0215983172833919,0.5736542750000001,100.0,100.0,3.4267912772585665,v6_08c905f8b420a36d0f,321,higher_confidence_watchlist,0.7832462686567164,854,v6_58bc6eedb077fcdf78,0.0599871190220117
cluster_8095517046,oi_funding_continuation,long,breakeven_ratchet,575,575,201.0,20.079436898231503,7.566120475530624,-1.09445471316576,0.1114346951305866,0.023588944992721,0.595131625,100.0,100.0,3.9800995024875614,v6_f70c9ed57173dd6a00,201,higher_confidence_watchlist,0.7831268656716418,575,v6_f70c9ed57173dd6a00,0.1114346951305866
cluster_7ee1d4e920,state_machine_runner,long,time_decay,290,290,954.0,13.141006231307983,13.141006231307983,-4.224158823490143,0.0488793231010437,0.0488793231010437,0.722802975,100.0,100.0,6.079664570230608,v6_31f014710b7e16778c,954,higher_confidence_watchlist,0.7823731343283583,492,v6_31f014710b7e16778c,0.0488793231010437
cluster_8b5e22ae5e,state_machine_runner,long,state_machine,439,439,416.0,13.141626119613647,11.601624637842178,-5.224158987402916,0.0493139735430479,0.0423187575310468,0.6509167499999999,100.0,100.0,4.326923076923077,v6_dd8225258b5faa6236,416,higher_confidence_watchlist,0.7820149253731343,439,v6_dd8225258b5faa6236,0.0493139735430479
cluster_ffca56e34a,oi_funding_continuation,long,runner_trail,397,397,149.0,15.869411826133728,11.6856150329113,-1.2241588905453682,0.0890895061254501,0.0353271760106086,0.681820075,100.0,100.0,6.711409395973154,v6_8cc1dc321770d8bf81,149,higher_confidence_watchlist,0.7790223880597015,397,v6_8cc1dc321770d8bf81,0.0890895061254501
cluster_84f18bd1ec,contrarian_crash_fade,long,failed_continuation,530,530,954.0,15.953800082206726,7.760825008153915,-2.2241588681936264,0.0615066121727228,0.0230904109239578,0.6473874,100.0,100.0,6.079664570230608,v6_a803302e30fa24d206,954,higher_confidence_watchlist,0.7752761194029851,641,v6_a803302e30fa24d206,0.0615066121727228
cluster_cfdc4d9e72,cross_channel_continuation,long,runner_trail,586,586,284.0,14.656686782836914,8.641860634088516,-1.7241587862372398,0.0684268483847379,0.027054035860598,0.5953827250000001,100.0,100.0,4.577464788732395,v6_399a9a7628c43bc4dc,284,higher_confidence_watchlist,0.7743955223880598,1029,v6_399a9a7628c43bc4dc,0.0684268483847379
cluster_e0711c0ec0,cross_channel_continuation,long,breakeven_ratchet,204,204,354.0,17.7555650472641,11.423512548208237,-1.7241587862372398,0.0825182134240865,0.0369498175600171,0.6931792250000001,100.0,100.0,3.389830508474576,v6_5e5d494a7bc04c1a9a,354,higher_confidence_watchlist,0.774320895522388,204,v6_5e5d494a7bc04c1a9a,0.0825182134240865
