rule,side,activation,giveback,hard_stop,max_hold,trades,mean_exit_ret,median_exit_ret,p10_exit_ret,p25_exit_ret,win_rate,mean_mfe,mean_mae,capture_ratio,score
L_breakout_20_vol_oi,long,8,0.25,6,240,51,1.729106134175902,4.519337016574587,-6.0,-6.0,0.5490196078431373,18.468177933840042,-15.36412489848322,0.09362624403827007,-4.270893865824098
L_breakout_20_vol_oi,long,5,0.25,18,60,50,1.489675624774876,3.7115803613017917,-5.788382105334105,-0.35635359116022725,0.72,12.147378638160944,-8.604395836484915,0.12263350547871008,-4.298706480559229
L_pullback_ema_reclaim,long,25,0.5,6,240,50,1.6724767250514496,-6.0,-6.0,-6.0,0.32,33.3786187692469,-17.8558435382111,0.05010622927849764,-4.32752327494855
L_pullback_ema_reclaim,long,12,0.35,12,240,55,7.658253510272224,7.347254447022422,-12.0,-7.6556703597659705,0.7090909090909091,35.57257290952811,-16.418818349988694,0.2152853415958833,-4.341746489727776
L_pullback_ema_reclaim,long,25,0.65,9,120,48,4.651470744114233,0.5780518381336863,-9.0,-9.0,0.5208333333333334,18.61224895433816,-15.47921810636735,0.24991449209205124,-4.348529255885767
L_breakout_20_vol_oi,long,12,0.35,6,240,51,1.6437071821563454,-6.0,-6.0,-6.0,0.47058823529411764,18.468177933840042,-15.36412489848322,0.08900213047788053,-4.356292817843655
L_pullback_ema_reclaim,long,8,0.5,6,30,55,1.6212748635855185,-1.0567645461760256,-6.0,-6.0,0.4727272727272727,12.268363736828306,-8.447461828353408,0.1321508636655943,-4.378725136414482
L_breakout_20_vol_oi,long,5,0.35,18,60,50,1.386274485857567,2.906511188054617,-5.788382105334105,-0.608619872121624,0.7,12.147378638160944,-8.604395836484915,0.11412128716417803,-4.4021076194765385
L_pullback_ema_reclaim,long,25,0.5,9,120,48,4.567889006606765,0.5780518381336863,-9.0,-9.0,0.5208333333333334,18.61224895433816,-15.47921810636735,0.24542380761257104,-4.432110993393235
L_pullback_ema_reclaim,long,18,0.5,6,120,50,1.527051538279975,-6.0,-6.0,-6.0,0.38,19.837665330506923,-15.136261170746021,0.07697738180569222,-4.472948461720025
L_pullback_ema_reclaim,long,18,0.5,9,240,48,4.468601393497152,-7.350758113696167,-9.0,-9.0,0.4791666666666667,32.717408786358966,-18.31211640581014,0.1365817636316073,-4.531398606502848
L_pullback_ema_reclaim,long,35,0.35,9,120,49,4.466663830591119,-1.6578821274556899,-9.0,-9.0,0.4897959183673469,19.22502809050113,-15.186780452586474,0.2323358805804839,-4.533336169408881
L_pullback_ema_reclaim,long,18,0.5,18,240,48,13.457977087838746,10.224509685829597,-18.0,-6.937911686888482,0.7083333333333334,32.717408786358966,-18.31211640581014,0.4113399436892401,-4.542022912161254
L_pullback_ema_reclaim,long,25,0.25,9,30,55,4.4383833492163935,3.6138632653835767,-9.0,-9.0,0.5636363636363636,12.268363736828306,-8.447461828353408,0.36177467871227564,-4.5616166507836065
L_pullback_ema_reclaim,long,18,0.25,9,60,55,4.436695526984517,7.7918612408272026,-9.0,-9.0,0.5818181818181818,16.809040394391197,-10.73664346172698,0.26394698465148214,-4.563304473015483
L_pullback_ema_reclaim,long,25,0.65,12,120,48,7.434125387444091,11.560332214856528,-12.0,-12.0,0.6458333333333334,18.61224895433816,-15.47921810636735,0.3994211234592012,-4.565874612555909
L_pullback_ema_reclaim,long,25,0.5,12,60,54,7.396376715414385,7.923169267707086,-12.0,-3.9001328633284373,0.6666666666666666,16.442119166737708,-10.933066750771145,0.44984327387537754,-4.603623284585615
L_pullback_ema_reclaim,long,18,0.25,9,240,55,4.382509637849184,10.952626453571646,-9.0,-9.0,0.5636363636363636,35.57257290952811,-16.418818349988694,0.12319911885472104,-4.617490362150816
L_breakout_20_vol_oi,long,5,0.5,18,60,50,1.1654122421334916,2.314358130370908,-5.788382105334105,-0.608619872121624,0.7,12.147378638160944,-8.604395836484915,0.095939401977012,-4.6229698632006135
L_pullback_ema_reclaim,long,25,0.5,12,120,48,7.350543649936623,12.416261843229526,-12.0,-12.0,0.6458333333333334,18.61224895433816,-15.47921810636735,0.394930438979721,-4.649456350063377
L_pullback_ema_reclaim,long,25,0.35,9,30,55,4.315598932293866,3.6138632653835767,-9.0,-9.0,0.5636363636363636,12.268363736828306,-8.447461828353408,0.3517664641242175,-4.684401067706134
L_pullback_ema_reclaim,long,25,0.5,9,30,55,4.314895541473681,3.6138632653835767,-9.0,-9.0,0.5636363636363636,12.268363736828306,-8.447461828353408,0.3517091304132783,-4.685104458526319
L_breakout_20_vol_oi,long,8,0.5,6,15,51,1.308617843887311,-0.23047064531780403,-6.0,-6.0,0.49019607843137253,6.526729252604063,-4.831633154169851,0.2005013220619184,-4.691382156112689
L_pullback_ema_reclaim,long,18,0.5,12,60,54,7.304960816442012,7.923169267707086,-12.0,-3.9001328633284373,0.6666666666666666,16.442119166737708,-10.933066750771145,0.444283412762261,-4.695039183557988
L_breakout_20_vol_oi,long,8,0.25,6,120,51,1.3028696429276174,1.662280094195867,-6.0,-6.0,0.5294117647058824,13.639934960039733,-11.329732916294812,0.09551875773195198,-4.697130357072383
L_pullback_ema_reclaim,long,25,0.65,9,240,48,4.302255515867817,-9.0,-9.0,-9.0,0.375,32.717408786358966,-18.31211640581014,0.13149744052046008,-4.697744484132183
L_pullback_ema_reclaim,long,12,0.25,6,30,55,1.2710542843272181,-2.868579052701814,-6.0,-6.0,0.45454545454545453,12.268363736828306,-8.447461828353408,0.10360422233909239,-4.728945715672782
L_breakout_20_vol_oi,long,8,0.25,6,60,51,1.2597589788251415,0.14148889856335778,-6.0,-6.0,0.5098039215686274,12.05422633946421,-8.602218473750657,0.10450765925149666,-4.7402410211748585
L_pullback_ema_reclaim,long,12,0.25,6,60,55,1.252576039443103,-6.0,-6.0,-6.0,0.4909090909090909,16.809040394391197,-10.73664346172698,0.07451799805663264,-4.7474239605568975
L_breakout_20_vol_oi,long,8,0.5,18,60,50,1.8350989854922495,3.42807702045953,-6.5904691597093015,-2.4577966955702357,0.68,12.147378638160944,-8.604395836484915,0.15106954678495763,-4.755370174217052
L_pullback_ema_reclaim,long,18,0.5,9,30,55,4.241338154029166,1.0399492707672708,-9.0,-9.0,0.5636363636363636,12.268363736828306,-8.447461828353408,0.3457134337562169,-4.758661845970834
