reject_reason,strategy_family,exit_family,side,entry_timing,rejected_strategies,median_sample_size,max_sample_size,best_robust_score
sample_size_lt_20,oi_funding_continuation,breakeven_ratchet,long,T0,56,0.0,19,-9.906026269319652
sample_size_lt_20,premium_basis_overheat,failed_continuation,long,5m,56,0.0,17,-9.999608134693652
sample_size_lt_20,liquidity_filtered_momentum,failed_continuation,short,3m,55,0.0,17,-10.0007
sample_size_lt_20,liquidity_filtered_momentum,prove_or_exit,short,3m,55,0.0,17,-10.001
sample_size_lt_20,premium_basis_overheat,breakeven_ratchet,long,1m,55,0.0,18,-10.001
sample_size_lt_20,taker_flow_reversal,state_machine,short,3m,55,0.0,1,-10.0016
sample_size_lt_20,premium_basis_overheat,state_machine,long,1m,55,0.0,12,-9.999941818803505
median_net_lte_0,freshness_strict_confirmation,failed_continuation,short,5m,55,2776.0,7317,-0.0046601068665273
sample_size_lt_20,cross_channel_continuation,multi_tp_sl,long,T0,55,0.0,17,-9.99810667557884
median_net_lte_0,state_machine_runner,partial_ladder,long,T0,55,341.0,1401,-0.0016881500471569
median_net_lte_0,state_machine_runner,prove_or_exit,long,T0,55,447.0,1401,-0.0027797334549017
median_net_lte_0,liquidity_filtered_momentum,prove_or_exit,short,3m,55,568.0,7317,-0.0025570327546447
sample_size_lt_20,cross_channel_continuation,multi_tp_sl,short,T0,55,0.0,17,-10.0013
median_net_lte_0,no_trade_freshness_boundary,breakeven_ratchet,short,1m,55,2195.0,7317,-0.0029014027860015
median_net_lte_0,state_machine_runner,multi_tp_sl,short,3m,55,1348.0,7317,-0.0045083892948925
sample_size_lt_20,taker_flow_reversal,runner_trail,long,30s,55,0.0,7,-10.0007
sample_size_lt_20,cross_channel_continuation,trailing_stop,long,T0,54,0.0,14,-9.980828632858396
sample_size_lt_20,cross_channel_continuation,fixed_tp_sl,long,T0,54,0.0,18,-10.000917939038574
sample_size_lt_20,cross_channel_continuation,breakeven_ratchet,long,T0,54,0.0,14,-9.998000151692333
sample_size_lt_20,taker_flow_reversal,prove_or_exit,long,3m,54,0.0,0,-10.0007
median_net_lte_0,state_machine_runner,multi_tp_sl,short,T0,54,152.5,1401,-0.0028765311989188
sample_size_lt_20,cross_channel_continuation,time_decay,long,T0,54,0.0,14,-10.001
sample_size_lt_20,state_machine_runner,trailing_stop,long,3m,54,0.0,18,-10.001
sample_size_lt_20,state_machine_runner,state_machine,short,3m,54,0.0,19,-10.0019
sample_size_lt_20,taker_flow_reversal,indicator_invalidation,long,30s,54,0.0,10,-10.0007
sample_size_lt_20,cross_channel_continuation,breakeven_ratchet,short,1m,54,0.0,5,-9.99987471566964
median_net_lte_0,contrarian_crash_fade,breakeven_ratchet,short,30s,54,237.0,1401,-0.003575653557945
median_net_lte_0,message_context_breakout,trailing_stop,short,5m,54,902.5,7317,-0.0019570327546447
sample_size_lt_20,oi_funding_continuation,prove_or_exit,short,T0,54,0.0,18,-10.0007
sample_size_lt_20,contrarian_crash_fade,indicator_invalidation,long,3m,54,0.0,19,-10.0013
median_net_lte_0,no_trade_freshness_boundary,runner_trail,short,1m,54,1889.0,7317,-0.0027834741618484
median_net_lte_0,contrarian_crash_fade,runner_trail,short,30s,53,114.0,1401,-0.0031062829129584
sample_size_lt_20,cross_channel_continuation,failed_continuation,long,T0,53,0.0,14,-10.001
median_net_lte_0,liquidity_filtered_momentum,state_machine,short,T0,53,147.0,1401,-0.0026571816708892
sample_size_lt_20,cross_channel_continuation,prove_or_exit,short,1m,53,0.0,13,-10.001
sample_size_lt_20,freshness_strict_confirmation,partial_ladder,long,5m,53,0.0,0,-10.001
sample_size_lt_20,taker_flow_reversal,multi_tp_sl,long,30s,53,0.0,19,-9.996444891744106
median_net_lte_0,liquidity_filtered_momentum,failed_continuation,short,3m,53,1502.0,7317,-0.0059795038183219
sample_size_lt_20,state_machine_runner,breakeven_ratchet,short,T0,53,0.0,18,-10.0013
median_net_lte_0,freshness_strict_confirmation,fixed_tp_sl,short,5m,53,1464.0,5796,-0.0029880730439908
median_net_lte_0,contrarian_crash_fade,time_decay,short,30s,53,130.0,1401,-0.0025422092208047
median_net_lte_0,no_trade_freshness_boundary,state_machine,short,1m,53,489.0,7317,-0.0035748747374862
sample_size_lt_20,cross_channel_continuation,state_machine,short,1m,53,0.0,17,-10.0016
median_net_lte_0,liquidity_filtered_momentum,trailing_stop,short,3m,52,740.0,7317,-0.0017088455067016
